length,family,RNAUnet16_precision,RNAUnet16_recall,RNAUnet16_f1,RNAUnet16_precision_shift,RNAUnet16_recall_shift,RNAUnet16_f1_shift
355,tmRNA,1.0,0.9795918464660645,0.9896907210350037,1.0,0.9795918464660645,0.9896907210350037
111,srp,0.5806451439857483,0.6666666865348816,0.6206896305084229,0.6129032373428345,0.7037037014961243,0.6551724076271057
120,5s,0.9696969985961914,0.9142857193946838,0.9411765336990356,1.0303030014038086,0.9714285731315613,1.0
340,RNaseP,1.0,0.844660222530365,0.9157894849777222,1.0,0.844660222530365,0.9157894849777222
119,5s,1.0,1.0,1.0,1.0,1.0,1.0
121,5s,1.0,1.0,1.0,1.0,1.0,1.0
122,5s,1.0,1.0,1.0,1.0,1.0,1.0
118,5s,1.0,1.0,1.0,1.0,1.0,1.0
118,5s,1.0,1.0,1.0,1.0,1.0,1.0
330,tmRNA,0.9615384340286255,0.6578947305679321,0.78125,0.9615384340286255,0.6578947305679321,0.78125
420,tmRNA,1.0,0.9504132270812988,0.9745762944221497,1.0,0.9504132270812988,0.9745762944221497
116,5s,0.875,0.875,0.875,1.0,1.0,1.0
120,5s,0.9354838728904724,0.90625,0.9206348657608032,1.0322580337524414,1.0,1.0158729553222656
379,RNaseP,0.7727272510528564,0.6601941585540771,0.7120418548583984,0.8068181872367859,0.6893203854560852,0.7434554696083069
607,grp1,0.4791666567325592,0.6571428775787354,0.5542169213294983,0.4791666567325592,0.6571428775787354,0.5542169213294983
76,tRNA,1.0,1.0,1.0,1.0,1.0,1.0
450,grp1,0.7339449524879456,0.7843137383460999,0.758293867111206,0.7431192398071289,0.7941176295280457,0.7677724361419678
120,5s,1.0,1.0,1.0,1.0,1.0,1.0
119,5s,1.0,1.0,1.0,1.0,1.0,1.0
270,srp,1.0,0.9753086566925049,0.987500011920929,1.0,0.9753086566925049,0.987500011920929
314,RNaseP,0.95652174949646,0.9166666865348816,0.936170220375061,0.95652174949646,0.9166666865348816,0.936170220375061
384,tmRNA,1.0,0.9134615659713745,0.9547739028930664,1.0,0.9134615659713745,0.9547739028930664
120,5s,1.0,1.0,1.0,1.0,1.0,1.0
352,RNaseP,0.988095223903656,0.8217821717262268,0.8972972631454468,0.988095223903656,0.8217821717262268,0.8972972631454468
118,5s,1.0,1.0,1.0,1.0,1.0,1.0
270,srp,1.0,0.9666666388511658,0.9830508232116699,1.0,0.9666666388511658,0.9830508232116699
120,5s,1.0,1.0,1.0,1.0,1.0,1.0
120,5s,1.0,1.0,1.0,1.0,1.0,1.0
